GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: DummyData
InfoText: This data contains some dummy timeseries data 
NumDimensions: 2
TotalNumTrainingExamples: 6
NumberOfClasses: 2
ClassIDsAndCounters: 
7	5
4	1
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 7
TimeSeriesLength: 32
TimeSeriesData: 
453	703
462	683
504	526
548	388
582	311
526	300
479	318
436	338
409	352
398	357
367	381
347	402
342	415
345	417
346	414
347	411
346	406
337	402
314	405
284	419
263	437
253	446
228	488
209	540
198	579
204	578
204	575
205	572
211	558
229	549
247	579
257	683
************TIME_SERIES************
ClassID: 7
TimeSeriesLength: 30
TimeSeriesData: 
407	700
463	542
502	430
517	391
525	276
476	304
424	316
376	336
348	354
333	367
309	405
298	421
301	419
302	410
299	410
298	406
278	413
249	437
216	473
178	527
159	562
153	574
150	587
152	586
149	579
146	584
139	594
135	604
118	656
107	697
************TIME_SERIES************
ClassID: 7
TimeSeriesLength: 34
TimeSeriesData: 
416	642
435	573
493	413
546	323
493	285
478	287
436	295
400	304
374	318
355	337
341	350
342	355
338	370
336	384
336	392
335	395
334	398
335	398
334	397
326	397
306	400
272	414
249	428
240	441
202	472
171	509
149	547
140	571
140	575
143	573
142	562
133	559
90	587
65	687
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 9
TimeSeriesData: 
470	677
483	591
493	497
508	414
536	406
513	483
497	541
491	570
469	661
************TIME_SERIES************
ClassID: 7
TimeSeriesLength: 34
TimeSeriesData: 
416	642
435	573
493	413
546	323
493	285
478	287
436	295
400	304
374	318
355	337
341	350
342	355
338	370
336	384
336	392
335	395
334	398
335	398
334	397
326	397
306	400
272	414
249	428
240	441
202	472
171	509
149	547
140	571
140	575
143	573
142	562
133	559
90	587
65	687
************TIME_SERIES************
ClassID: 7
TimeSeriesLength: 32
TimeSeriesData: 
356	608
427	431
468	349
489	322
484	280
464	283
454	289
419	304
390	324
363	346
340	367
330	374
328	376
331	376
333	372
333	369
325	372
313	375
303	382
271	399
239	425
210	459
192	498
182	517
179	523
177	524
178	517
164	517
107	548
70	602
60	643
80	711
