GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: DummyData
InfoText: This data contains some dummy timeseries data 
NumDimensions: 2
TotalNumTrainingExamples: 9
NumberOfClasses: 3
ClassIDsAndCounters: 
1	3
2	3
13	3
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 33
TimeSeriesData: 
435	693
442	659
443	616
446	477
445	370
445	303
443	290
437	310
439	313
429	309
402	302
388	303
412	291
432	300
438	303
440	305
423	296
396	292
378	298
385	297
391	301
419	292
445	305
451	304
438	295
430	294
422	305
408	370
405	464
419	590
439	679
443	697
444	705
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 33
TimeSeriesData: 
435	693
442	659
443	616
446	477
445	370
445	303
443	290
437	310
439	313
429	309
402	302
388	303
412	291
432	300
438	303
440	305
423	296
396	292
378	298
385	297
391	301
419	292
445	305
451	304
438	295
430	294
422	305
408	370
405	464
419	590
439	679
443	697
444	705
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 42
TimeSeriesData: 
425	695
424	630
432	513
452	450
465	419
501	354
514	335
511	327
508	325
502	322
501	322
509	344
508	354
490	354
471	356
459	362
456	364
445	370
441	368
460	361
494	362
506	363
506	362
491	360
467	356
438	364
427	373
430	372
432	371
449	360
484	352
507	356
511	362
504	361
501	361
481	363
452	377
424	432
408	508
399	579
395	615
408	704
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 34
TimeSeriesData: 
415	699
422	686
454	636
486	519
512	438
529	397
537	383
544	380
593	387
594	398
595	402
597	401
598	400
599	398
554	380
521	344
473	314
419	293
376	291
357	302
306	333
270	384
238	422
237	430
240	421
257	414
277	389
333	358
396	332
439	387
452	453
453	493
450	621
426	701
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 36
TimeSeriesData: 
498	671
521	579
531	536
536	519
549	496
559	492
566	494
569	497
569	498
571	497
570	498
568	498
566	498
561	495
554	490
550	485
529	474
501	464
471	459
438	460
421	468
411	472
388	491
378	505
380	511
379	510
382	509
381	508
384	504
391	491
410	481
439	489
450	509
454	523
463	597
466	685
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 42
TimeSeriesData: 
335	689
338	670
339	646
354	568
378	508
405	464
433	437
452	430
460	427
483	430
495	442
501	459
502	467
504	471
505	473
504	471
499	459
486	434
461	403
440	383
429	373
387	353
342	345
305	360
272	394
249	418
242	429
222	466
212	493
211	503
215	504
215	505
215	502
220	502
227	501
235	507
248	523
255	539
261	550
275	601
289	654
300	685
************TIME_SERIES************
ClassID: 13
TimeSeriesLength: 50
TimeSeriesData: 
204	706
205	673
232	633
256	594
270	576
316	525
360	494
393	475
421	459
434	451
441	447
459	438
476	430
494	425
516	420
531	419
537	419
602	421
599	426
597	428
593	434
590	437
586	440
580	446
579	452
577	456
573	458
573	457
574	456
574	455
577	455
579	456
580	457
580	457
581	458
581	461
581	463
580	462
580	465
580	468
579	470
579	484
582	508
586	539
594	577
597	603
597	616
597	648
597	667
595	690
************TIME_SERIES************
ClassID: 13
TimeSeriesLength: 27
TimeSeriesData: 
859	696
387	668
408	628
464	521
524	464
576	437
641	439
637	440
632	445
635	450
636	462
637	467
637	469
638	469
638	469
636	467
635	467
635	467
633	460
631	452
630	451
626	447
622	465
623	514
626	588
628	644
631	659
************TIME_SERIES************
ClassID: 13
TimeSeriesLength: 33
TimeSeriesData: 
431	696
440	676
481	576
523	499
560	453
589	430
650	430
651	428
651	422
647	422
638	427
644	439
643	442
643	444
644	448
646	449
645	451
647	451
647	451
647	451
647	452
647	452
648	451
648	450
647	449
649	448
648	447
648	451
647	476
650	533
649	581
653	604
656	661
