GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: DummyData
InfoText: This data contains some dummy timeseries data 
NumDimensions: 2
TotalNumTrainingExamples: 9
NumberOfClasses: 3
ClassIDsAndCounters: 
14	3
10	3
18	3
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 14
TimeSeriesLength: 28
TimeSeriesData: 
569	669
655	556
708	462
734	432
743	422
758	404
761	403
746	399
719	395
646	390
600	398
558	403
519	412
495	418
485	420
458	418
437	414
417	415
398	418
384	417
374	415
342	414
313	415
308	423
283	465
256	519
243	560
212	692
************TIME_SERIES************
ClassID: 14
TimeSeriesLength: 36
TimeSeriesData: 
589	704
634	672
652	652
697	557
724	483
745	431
761	402
772	393
778	389
787	392
782	400
766	396
747	392
731	394
723	395
693	399
660	404
627	407
595	409
575	410
565	411
536	415
504	424
474	432
447	438
424	442
414	441
386	442
367	441
347	440
335	437
329	440
324	450
291	494
239	583
196	701
************TIME_SERIES************
ClassID: 14
TimeSeriesLength: 36
TimeSeriesData: 
559	689
607	651
630	616
684	513
726	440
748	407
762	396
769	401
766	403
766	415
763	405
746	400
721	399
700	394
687	392
648	388
608	393
574	404
544	415
521	422
511	425
478	430
448	434
425	436
406	436
390	436
384	436
364	437
348	436
326	432
307	428
295	429
283	433
259	461
224	524
198	647
************TIME_SERIES************
ClassID: 10
TimeSeriesLength: 23
TimeSeriesData: 
558	703
614	670
620	640
624	628
623	628
629	636
636	637
627	627
630	628
639	637
634	639
632	634
644	637
634	646
634	641
652	640
646	644
634	642
631	642
625	644
608	655
594	678
582	695
************TIME_SERIES************
ClassID: 10
TimeSeriesLength: 26
TimeSeriesData: 
559	709
572	703
582	698
596	694
600	695
601	696
589	706
617	691
631	665
635	647
646	568
646	534
647	522
650	525
648	526
648	525
650	524
651	529
651	526
654	526
653	531
652	532
652	543
659	574
641	637
575	697
************TIME_SERIES************
ClassID: 18
TimeSeriesLength: 31
TimeSeriesData: 
325	694
265	621
234	502
232	419
235	384
273	290
322	223
363	176
401	149
423	141
431	135
450	128
471	124
481	122
486	120
485	122
483	119
482	119
479	121
469	126
448	138
438	151
428	160
396	205
350	274
306	367
309	499
331	595
341	635
399	699
28	687
************TIME_SERIES************
ClassID: 18
TimeSeriesLength: 16
TimeSeriesData: 
469	102
472	107
469	100
473	108
472	108
472	106
471	106
463	97
440	89
361	96
298	126
270	141
206	246
185	401
225	587
292	691
************TIME_SERIES************
ClassID: 18
TimeSeriesLength: 31
TimeSeriesData: 
238	668
181	532
167	389
190	268
228	217
254	192
321	135
370	106
396	98
424	97
429	107
444	112
456	125
464	122
466	121
466	117
463	118
466	118
465	116
464	111
449	110
412	106
379	119
360	128
300	169
256	236
240	321
249	426
267	506
278	554
322	676
************TIME_SERIES************
ClassID: 10
TimeSeriesLength: 27
TimeSeriesData: 
570	694
582	689
600	689
581	705
603	701
623	672
631	631
632	597
632	585
631	582
634	585
627	587
629	589
636	595
628	596
625	595
629	591
633	596
629	596
638	596
628	603
628	603
630	606
629	604
628	612
613	660
567	695
